CIM10;;"SFMU
SFMU";REGROUPEMENTS CIM10 FEDORU;;
Y466;Effets indésirables des anti-épileptiques, autres et sans précision au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y467;Effets indésirables des  antiparkinsoniens au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y468;Effets indésirables des myorelaxants d'action centrale au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y47;Effets indésirables des sédatifs, hypnotiques et tranquillisants;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y470;Effets indésirables des barbituriques, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y471;Effets indésirables des benzodiazépines au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y472;Effets indésirables des dérivés du chloral au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y473;Effets indésirables des paraldéhyde au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y474;Effets indésirables des dérivés du brome au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y475;Effets indésirables des sédatifs et hypnotiques en association, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y478;Effets indésirables d'autres sédatifs, hypnotiques et tranquillisants au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y479;Effets indésirables d'un sédatif, hypnotique et tranquillisant, sans précision au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y48;Effets indésirables des anesthésiques et gaz thérapeutiques;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y480;Effets indésirables des anesthésiques inhalés au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y481;Effets indésirables des anesthésiques par voie parentérale au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y482;Effets indésirables des anesthésiques généraux, autres et sans précision au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y483;Effets indésirables des anesthésiques locaux au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y484;Effets indésirables des anesthésiques, sans précision au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y485;Effets indésirables des gaz thérapeutiques;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y49;Effets indésirables des médicaments psychotropes, non classés ailleurs;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y490;Effets indésirables des antidépresseurs tri- et tétracycliques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y491;Effets indésirables des antidépresseurs inhibiteurs de la mono-amine-oxydase au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y492;Effets indésirables des antidépresseurs, autres et sans précision au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y493;Effets indésirables des antipsychotiques phénothiaziniques et neuroleptiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y494;Effets indésirables des neuroleptiques à base de butyrophénone et de thioxanthène au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y495;Effets indésirables d'autres antipsychotiques et neuroleptiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y496;Effets indésirables des psychodysleptiques [hallucinogènes] au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y497;Effets indésirables des psychostimulants pouvant faire l'objet d'un abus au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y498;Effets indésirables d'autres médicaments psychotropes, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y499;Effets indésirables d'un médicament psychotrope, sans précision au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y50;Effets indésirables des stimulants du système nerveux central, non classés ailleurs;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y500;Effets indésirables des analeptiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y501;Effets indésirables d'un antagoniste des opioïdes au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y502;Effets indésirables des méthylxanthines, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y508;Effets indésirables d'autres stimulants du système nerveux central au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y509;Effets indésirables d'un stimulant du système nerveux central, sans précision au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y51;Effets indésirables des médicaments agissant essentiellement sur le système nerveux autonome;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y510;Effets indésirables des anticholinestérasiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y511;Effets indésirables d'autres parasympathomimétiques [cholinergiques] au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y512;Effets indésirables des ganglioplégiques, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y513;Effets indésirables d'autres parasympatholytiques [anticholinergiques et antimuscariniques] et spasmolytiques, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y514;Effets indésirables des agents principalement alpha-sympathomimétiques, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y515;Effets indésirables des agents principalement bêta-sympathomimétiques, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y516;Effets indésirables des alpha-bloquants, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y517;Effets indésirables des bêta-bloquants, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y518;Effets indésirables des agents bloquants neuronaux adrénergiques et d'action centrale, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y519;Effets indésirables des médicaments agissant essentiellement sur le système nerveux autonome, autres et sans précision au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y52;Effets indésirables des substances agissant essentiellement sur le système cardio-vasculaire;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y520;Effets indésirables des glucosides cardiotoniques et médicaments d'action similaire au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y521;Effets indésirables des inhibiteurs calciques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y522;Effets indésirables d'autres anti-arythmisants, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y523;Effets indésirables des vasodilatateurs coronariens, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y524;Effets indésirables des inhibiteurs de l'enzyme de conversion au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y525;Effets indésirables d'autres antihypertenseurs, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y526;Effets indésirables des antihyperlipidémiants et anti-artériosclérosants au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y527;Effets indésirables des vasodilatateurs périphériques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y528;Effets indésirables des substances antivariqueuses, y compris les agents sclérosants au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y529;Effets indésirables des substances agissant essentiellement sur le système cardio-vasculaire, autres et sans précision au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y53;Effets indésirables des substances agissant essentiellement sur le tractus gastro-intestinal;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y530;Effets indésirables d'un inhibiteur des récepteurs histaminique H2 au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y531;Effets indésirables d'autres anti-acides et antisécrétoires gastriques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y532;Effets indésirables des laxatifs stimulants au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y533;Effets indésirables des laxatifs salins et osmotiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y534;Effets indésirables d'autres laxatifs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y535;Effets indésirables des médicaments facilitant la digestion au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y536;Effets indésirables des antidiarrhéiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y537;Effets indésirables des émétiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y538;Effets indésirables d'autres substances agissant essentiellement sur le tractus gastro-intestinal au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y539;Effets indésirables d'une substance agissant essentiellement sur le tractus gastro-intestinal, sans précision au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y54;Effets indésirables des médicaments agissant essentiellement sur le métabolisme de l'eau, des sels minéraux et de l'acide urique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y540;Effets indésirables des minéralocorticoïdes au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y541;Effets indésirables des antagonistes des minéralocorticoïdes [antagonistes de l'aldostérone] au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y542;Effets indésirables des inhibiteurs de l'anhydrase carbonique au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y543;Effets indésirables des dérivés de la benzothiadiazine au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y544;Effets indésirables des diurétiques de l'anse au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y545;Effets indésirables d'autres diurétiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y546;Effets indésirables des produits agissant sur l'équilibre électrolytique, calorique et hydrique au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y547;Effets indésirables des médicaments agissant sur le métabolisme du calcium au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y548;Effets indésirables des médicaments agissant sur le métabolisme de l'acide urique au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y549;Effets indésirables des sels minéraux, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y55;Effets indésirables des substances agissant essentiellement sur les muscles lisses et striés et l'appareil respiratoire;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y550;Effets indésirables des ocytociques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y551;Effets indésirables des myorelaxants au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y552;Effets indésirables des médicaments agissant essentiellement sur les muscles, autres et sans précision au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y553;Effets indésirables des antitussifs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y554;Effets indésirables des expectorants au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y555;Effets indésirables des médicaments contre le coryza [rhume banal] au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y556;Effets indésirables des anti-asthmatiques, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y557;Effets indésirables des substances agissant essentiellement sur l'appareil respiratoire, autres et sans précision au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y56;Effets indésirables des substances à usage topique agissant essentiellement sur la peau et les muqueuses, médicaments à usage ophtalmologique, oto-rhino-laryngologique et dentaire;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y560;Effets indésirables des médicaments antifongiques, anti-infectieux et anti-inflammatoires pour application locale, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y561;Effets indésirables des antiprurigineux au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y562;Effets indésirables des astringents et détergents locaux au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y563;Effets indésirables des émollients, adoucissants et protecteurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y564;Effets indésirables des kératolytiques, kératoplastiques et autres médicaments et préparations capillaires au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y565;Effets indésirables des médicaments et préparations ophtalmologiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y566;Effets indésirables des médicaments et préparations utilisés en oto-rhino-laryngologie au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y567;Effets indésirables des médicaments dentaires pour application locale au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y568;Effets indésirables d'autres topiques agissant essentiellement sur la peau et les muqueuses au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y569;Effets indésirables d'un topique agissant essentiellement sur la peau et les muqueuses, sans précision au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y57;Effets indésirables des substances médicamenteuses, autres et sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y570;Effets indésirables des dépresseurs de l'appétit [anorexigènes] au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y571;Effets indésirables des lipotropes au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y572;Effets indésirables des antidotes et chélateurs, non classés ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y573;Effets indésirables des produits de désintoxication alcoolique au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y574;Effets indésirables des excipients pharmaceutiques au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y575;Effets indésirables d'un produit de contraste utilisé en radiologie au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y576;Effets indésirables d'autres agents de diagnostic au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y577;Effets indésirables des vitamines, non classées ailleurs au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y578;Effets indésirables d'autres substances et médicaments au cours de leur usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y579;Effets indésirables d'une substance et médicament, sans précision au cours de son usage thérapeutique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y58;Effets indésirables des vaccins bactériens;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y580;Effets indésirables du vaccin BCG;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y581;Effets indésirables du vaccin antityphoïdique et paratyphoïdique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y582;Effets indésirables du vaccin anticholérique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y583;Effets indésirables du vaccin antipesteux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y584;Effets indésirables du vaccin antitétanique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y585;Effets indésirables du vaccin antidiphtérique;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y586;Effets indésirables du vaccin anticoquelucheux, y compris en association;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y588;Effets indésirables des vaccins bactériens mixtes, sauf ceux qui contiennent du vaccin anticoquelucheux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y589;Effets indésirables des vaccins bactériens, autres et sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y59;Effets indésirables des vaccins et substances biologiques, autres et sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y590;Effets indésirables des vaccins antiviraux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y591;Effets indésirables des vaccins antirickettsies;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y592;Effets indésirables des vaccins antiprotozoaires;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y593;Effets indésirables des immunoglobulines;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y598;Effets indésirables d'autres vaccins et substances biologiques précisés;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y599;Effets indésirables de vaccin ou substance biologique, sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y60;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y600;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'une intervention chirurgicale;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y601;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'une perfusion ou transfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y602;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'une dialyse rénale ou autre perfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y603;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'une injection ou vaccination;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y604;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'une endoscopie;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y605;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'un cathétérisme cardiaque;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y606;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'une aspiration, d'une ponction et d'un autre cathétérisme;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y607;Coupure, piqûre, perforation ou hémorragie accidentelles au cours de l'administration d'un lavement;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y608;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'autres actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y609;Coupure, piqûre, perforation ou hémorragie accidentelles au cours d'un acte médical et chirurgical, sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y61;Corps étranger accidentellement laissé dans l'organisme au cours d'actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y610;Corps étranger accidentellement laissé dans l'organisme au cours d'une intervention chirurgicale;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y611;Corps étranger accidentellement laissé dans l'organisme au cours d'une perfusion ou transfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y612;Corps étranger accidentellement laissé dans l'organisme au cours d'une dialyse rénale ou autre perfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y613;Corps étranger accidentellement laissé dans l'organisme au cours d'une injection ou vaccination;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y614;Corps étranger accidentellement laissé dans l'organisme au cours d'une endoscopie;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y615;Corps étranger accidentellement laissé dans l'organisme au cours d'un cathétérisme cardiaque;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y616;Corps étranger accidentellement laissé dans l'organisme au cours d'une aspiration, d'une ponction et d'un autre cathétérisme;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y617;Corps étranger accidentellement laissé dans l'organisme au cours de l'extraction d'un cathéter ou d'un tamponnement;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y618;Corps étranger accidentellement laissé dans l'organisme au cours d'autres actes médicaux et chirurgicaux.;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y619;Corps étranger accidentellement laissé dans l'organisme au cours d'un acte médical et chirurgical, sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y62;Asepsie insuffisante au cours d'actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y620;Asepsie insuffisante au cours d'une intervention chirurgicale;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y621;Asepsie insuffisante au cours d'une perfusion ou transfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y622;Asepsie insuffisante au cours d'une dialyse rénale ou autre perfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y623;Asepsie insuffisante au cours d'une injection ou vaccination;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y624;Asepsie insuffisante au cours d'une endoscopie;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y625;Asepsie insuffisante au cours d'un cathétérisme cardiaque;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y626;Asepsie insuffisante au cours d'une aspiration, d'une ponction et d'un autre cathétérisme;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y628;Asepsie insuffisante au cours d'autres actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y629;Asepsie insuffisante au cours d'un acte médical et chirurgical, sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y63;Erreur de dosage au cours d'actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y630;Administration en quantité excessive de sang ou d'un autre liquide au cours d'une transfusion ou perfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y631;Erreur de dilution au cours d'une perfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y632;Dose excessive administrée en radiothérapie;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y633;Irradiation par inadvertance d'un malade au cours d'un acte médical;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y634;Erreur de dosage au cours de sismothérapie ou d'insulinothérapie;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y635;Température inadéquate au cours d'application locale ou de tamponnement;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y636;Non-administration d'un médicament ou d'une substance biologique nécessaire;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y638;Erreur de dosage au cours d'autres actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y639;Erreur de dosage au cours d'un acte médical et chirurgical, sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y64;Substances médicales ou biologiques contaminées;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y640;Transfusion ou perfusion d'une substance médicale ou biologique contaminée;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y641;Injection ou vaccination avec une substance médicale ou biologique contaminée;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y648;Administration par d'autres moyens d'une substance médicale ou biologique contaminée;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y649;Administration par des moyens non précisés d'une substance médicale ou biologique contaminée;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y65;Autres accidents et complications au cours d'actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y650;Incompatibilité sanguine au cours d'une transfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y651;Erreur de liquide utilisé lors d'une perfusion;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y652;Lâchage de suture ou de ligature au cours d'une intervention chirurgicale;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y653;Malposition de canule endotrachéale au cours d'une intubation durant une anesthésie;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y654;Échec à l'introduction ou à l'extraction d'autres canules ou instruments;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y655;Exécution d'une intervention non appropriée;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y658;Autres accidents et complications précisés au cours d'actes médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y66;Non-administration de soins médicaux et chirurgicaux;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y69;Accident et complication au cours d'un acte médical et chirurgical, sans précision;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y70;Appareils d'anesthésiologie, associés à des accidents;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y700;Appareils d'anesthésiologie, associés à des accidents : pour diagnostic et monitorage;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y701;Appareils d'anesthésiologie, associés à des accidents : pour traitement (non chirurgical) et rééducation;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y702;Appareils d'anesthésiologie, associés à des accidents : prothèse et autres implants, matériel et accessoires;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y703;Appareils d'anesthésiologie, associés à des accidents : instruments, matériaux et appareils chirurgicaux (y compris les sutures);non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y708;Appareils d'anesthésiologie, associés à des accidents : appareils divers, non classés ailleurs;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y71;Appareils cardio-vasculaires, associés à des accidents;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y710;Appareils cardio-vasculaires, associés à des accidents : pour diagnostic et monitorage;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y711;Appareils cardio-vasculaires, associés à des accidents : pour traitement (non chirurgical) et rééducation;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y712;Appareils cardio-vasculaires, associés à des accidents : prothèse et autres implants, matériel et accessoires;non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
Y713;Appareils cardio-vasculaires, associés à des accidents : instruments, matériaux et appareils chirurgicaux (y compris les sutures);non;Autre recours;Iatrogénie et complication post chirurgicale SAI;-
