"CODE ","REGROUPEMENTS ORUMIPS",,,,,,,,,,,
"CIM10","Code Type Urgences","Libéllé Type Urgences","Code Discipline / Topographie","Libellé Discipline / Topographie","Code Type Pathologie","Libéllé Type de Pathologie",,,,,,
"S3620","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3630","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3640","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3650","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3660","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3670","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3680","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3700","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3710","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3720","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3730","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3760","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S3770","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S379","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S382","TRAUMA","Traumatologique","TRAU_TRONC","Traumatologie thoraco-abdomino-pelvienne","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S400","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S407","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S410","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S411","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S417","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S4200","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4201","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4210","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4211","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4220","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4221","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4230","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4231","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4240","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4241","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4270","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4271","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4290","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S4291","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S430","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S431","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S432","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S434","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S435","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S436","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S440","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S441","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S442","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S449","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S459","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S469","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S480","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S481","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S497","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_SP","Traumatismes autres et sans précision",,,,,,
"S500","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S501","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S507","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S508","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S510","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S517","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S518","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S5200","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5201","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5210","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5211","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5220","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5221","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5230","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5231","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5240","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5241","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5250","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5251","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5260","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5261","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5270","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5271","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5290","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S5291","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S530","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S531","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S534","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S540","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S541","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S542","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S549","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S559","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S568","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S579","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S589","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S597","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_SP","Traumatismes autres et sans précision",,,,,,
"S600","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S601","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S602","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S607","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S608","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S609","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S610","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S611","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S617","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S618","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S619","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S6200","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6201","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6210","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6211","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6220","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6221","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6230","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6231","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6240","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6241","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6250","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6251","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6260","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6261","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6270","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6271","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6280","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S6281","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_FRACT","Fractures de membre",,,,,,
"S630","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S631","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S632","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S633","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S634","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S635","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S636","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S640","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S641","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S642","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S649","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S650","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S651","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S659","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S669","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S670","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S678","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S680","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S681","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S682","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S684","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S697","TRAUMA","Traumatologique","TRAU_MSUP","Traumatologie du membre supérieur","TRAU_SP","Traumatismes autres et sans précision",,,,,,
"S700","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S701","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S707","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S708","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","CONT_LS","Contusions et lésions superf cutanéo-muqueuses (hors plaies et CE)",,,,,,
"S710","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S711","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S717","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","PLAIES_CE","Plaies et corps étrangers cutanéo-muqueux",,,,,,
"S7200","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7201","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7210","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7211","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7220","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7221","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7230","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7231","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7240","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7241","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7270","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7271","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7290","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S7291","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_FRACT","Fractures de membre",,,,,,
"S730","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S731","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","MB_ELUX","Entorses et luxations de membre",,,,,,
"S740","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S741","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S749","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S750","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S751","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S759","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S760","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S761","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S762","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S763","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S770","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
"S771","TRAUMA","Traumatologique","TRAU_MINF","Traumatologie du membre inférieur","TRAU_PROF","Lésion prof des tissus (tendons"," vx"," nerfs","..) ou d'organes internes  (hors TC) ",,,
